RMSE,MAE,MAPE,MASE,model,variant,window,cutoff,item_id,n
3933.4582728558844,3931.449402389007,60.06457444716388,1.3022981325765943,timesfm,xreg_b,1,-3,spinach_box4kg_mid,3
2609.654615268609,2406.360360618151,8.131559266890944,0.9122959290511059,timesfm,xreg_b,1,-3,sweetpotato_box10kg_high,3
1233.721564720692,1125.8281904645999,9.685630514305615,0.6948724279157166,timesfm,xreg_b,1,-3,sweetpotato_box10kg_low,3
1258.7491888969157,1184.2544872430092,5.6661306201793735,0.5604313047579302,timesfm,xreg_b,1,-3,sweetpotato_box10kg_mid,3
8217.737227394451,7569.441694154055,16.03597375678635,1.7285686997105725,timesfm,xreg_b,1,-3,sweetpotato_box10kg_premium,3
21181.65745332528,20069.833504250037,43.26510232227185,3.3743166130681024,timesfm,xreg_b,2,-18,apple_fuji_box10kg_high,3
7094.787232211872,6999.8623287465825,25.741609221516313,2.0349285691845456,timesfm,xreg_b,2,-18,apple_fuji_box10kg_low,3
9164.559007082176,6989.692344950922,18.59201744449204,1.562360195416449,timesfm,xreg_b,2,-18,apple_fuji_box10kg_mid,3
58078.766982682755,57184.724482941056,82.39660629286728,5.994579794687954,timesfm,xreg_b,2,-18,apple_fuji_box10kg_premium,3
2016.2161440918999,1613.2466196586863,16.75500357885258,1.0884750445840425,timesfm,xreg_b,2,-18,cabbage_net8kg_high,3
241.73348600368075,236.0973327832926,6.865867538924386,0.23106054541760046,timesfm,xreg_b,2,-18,cabbage_net8kg_low,3
781.95179073164,524.8492576725521,8.58297726501489,0.3954351169880525,timesfm,xreg_b,2,-18,cabbage_net8kg_mid,3
2667.005506612527,2534.283379129741,19.78757167741155,1.5764533384665362,timesfm,xreg_b,2,-18,cabbage_net8kg_premium,3
6848.8373702612525,6310.802825143346,19.586798429139463,1.3943720710441543,timesfm,xreg_b,2,-18,carrot_box20kg_high,3
4549.359593894979,4358.730397268221,28.585734914850324,1.2060974793406998,timesfm,xreg_b,2,-18,carrot_box20kg_low,3
6015.7071515575935,5262.395748236926,20.24926775273551,1.2473335674016255,timesfm,xreg_b,2,-18,carrot_box20kg_mid,3
1454.4664185222764,1350.2393328490289,9.111206987424898,0.35731451900090894,timesfm,xreg_b,2,-18,crown_daisy_box4kg_high,3
987.824318626378,814.0558536170423,8.02290848732576,0.28451546538487005,timesfm,xreg_b,2,-18,crown_daisy_box4kg_low,3
1135.0924918810106,1024.5149346387043,7.908304345614116,0.295912897454938,timesfm,xreg_b,2,-18,crown_daisy_box4kg_mid,3
18552.13720898993,16852.000076691926,18.604706159964614,1.3350089561995473,timesfm,xreg_b,2,-18,cucumber_bdadagi_ea100_high,3
13382.782711359398,12095.615470621457,21.022103455882725,1.690841024959826,timesfm,xreg_b,2,-18,cucumber_bdadagi_ea100_low,3
19681.282483749317,18581.43513494173,25.36460455843575,1.8407573584406987,timesfm,xreg_b,2,-18,cucumber_bdadagi_ea100_mid,3
23966.714314186615,22493.120741093637,19.94090341998409,1.5626431376779832,timesfm,xreg_b,2,-18,cucumber_bdadagi_ea100_premium,3
410.14076663491403,332.1126847791779,7.283921122304992,0.661197223626025,timesfm,xreg_b,2,-18,garlic_chive_bundle500g_high,3
82.05739091070059,78.50866258534643,2.8652906436344145,0.23720187332943762,timesfm,xreg_b,2,-18,garlic_chive_bundle500g_low,3
291.47386559161407,227.0994338056139,6.1820968620074,0.5283153049379177,timesfm,xreg_b,2,-18,garlic_chive_bundle500g_mid,3
1237.385947546474,1172.4108453661709,8.593743986681991,0.34243208956487164,timesfm,xreg_b,2,-18,honewort_kg4_high,3
2077.733356414572,2073.97547690578,18.899592140845456,0.6996905213892931,timesfm,xreg_b,2,-18,honewort_kg4_low,3
1931.5307367372623,1915.767035364348,15.500467793492664,0.5846280669789452,timesfm,xreg_b,2,-18,honewort_kg4_mid,3
838.47233467599,652.263353712419,7.239260317705247,0.44118377945712606,timesfm,xreg_b,2,-18,napa_cabbage_net10kg_high,3
1050.1867253693329,856.2099274821148,14.179259163142998,0.964534963858366,timesfm,xreg_b,2,-18,napa_cabbage_net10kg_low,3
625.5870034801727,538.2462318111839,7.364671066806866,0.44391487619902814,timesfm,xreg_b,2,-18,napa_cabbage_net10kg_mid,3
663.9299502200957,545.973002260606,4.995959852319467,0.3147020232400374,timesfm,xreg_b,2,-18,napa_cabbage_net10kg_premium,3
54.78738888395969,48.04288817877754,4.625346800462784,0.5035245390398235,timesfm,xreg_b,2,-18,onion_kg1_high,3
34.31091296121572,30.92632730580696,5.116470574528599,0.3315202086527981,timesfm,xreg_b,2,-18,onion_kg1_low,3
34.103475157433,31.11082515294716,3.488223830069961,0.3411809236657367,timesfm,xreg_b,2,-18,onion_kg1_mid,3
61.20216958802558,57.775740697123865,4.658968763622053,0.5044507726690938,timesfm,xreg_b,2,-18,onion_kg1_premium,3
1558.444453873208,1279.2507346823866,3.158807284906468,0.24984337487589148,timesfm,xreg_b,2,-18,perilla_leaf_bunch100_high,3
2760.200529694651,2725.4853936080813,9.968895696373108,0.7312657323053342,timesfm,xreg_b,2,-18,perilla_leaf_bunch100_low,3
721.7060793084396,523.9765014466126,1.453402277088118,0.11495621109411247,timesfm,xreg_b,2,-18,perilla_leaf_bunch100_mid,3
3180.579776610824,2958.4725173343345,4.682727926090286,0.639988905380308,timesfm,xreg_b,2,-18,potato_sumi_box20kg_high,3
1609.2958186729745,1528.8580173507446,6.104791696460465,0.540032277015084,timesfm,xreg_b,2,-18,potato_sumi_box20kg_low,3
4286.465045361541,3201.3025695023293,6.2401061417859855,0.8240089494781002,timesfm,xreg_b,2,-18,potato_sumi_box20kg_mid,3
3248.503671193955,3047.7220108147717,4.62502895800553,0.5110200502904502,timesfm,xreg_b,2,-18,potato_sumi_box20kg_premium,3
2721.0986328042845,2172.8523105508734,10.336943798772324,0.5509453154145253,timesfm,xreg_b,2,-18,spinach_box4kg_high,3
774.2928715845648,623.9827933447838,4.733400568851542,0.2903928808766316,timesfm,xreg_b,2,-18,spinach_box4kg_low,3
977.8787196400774,920.623514019227,5.7786323757930695,0.30495783117157627,timesfm,xreg_b,2,-18,spinach_box4kg_mid,3
965.8373960905045,858.5289443728434,3.0553674641157906,0.32548427647914296,timesfm,xreg_b,2,-18,sweetpotato_box10kg_high,3
2137.4172997748706,2119.658293761069,20.870103534589244,1.3082743152217704,timesfm,xreg_b,2,-18,sweetpotato_box10kg_low,3
788.7986401921244,700.1332728902174,3.563307533942338,0.33132794332388193,timesfm,xreg_b,2,-18,sweetpotato_box10kg_mid,3
1669.9366053889594,1558.279092839919,4.182872782627644,0.355850877004146,timesfm,xreg_b,2,-18,sweetpotato_box10kg_premium,3
18916.323475544985,18259.969235717963,27.541182460391596,3.070026342428195,timesfm,xreg_b,3,-33,apple_fuji_box10kg_high,3
753.5389285554849,644.7205198709065,2.4307424378441302,0.18742657261085646,timesfm,xreg_b,3,-33,apple_fuji_box10kg_low,3
5595.451955388638,4884.030501757377,11.20098115267642,1.09169538122198,timesfm,xreg_b,3,-33,apple_fuji_box10kg_mid,3
17058.781447842397,16716.884225579463,11.436386752934723,1.752403239062393,timesfm,xreg_b,3,-33,apple_fuji_box10kg_premium,3
571.9309404262497,509.36632467815343,8.933513430465212,0.3436750005904019,timesfm,xreg_b,3,-33,cabbage_net8kg_high,3
622.1671894684679,612.0270527952861,27.06461967749648,0.5989703609189294,timesfm,xreg_b,3,-33,cabbage_net8kg_low,3
425.6906429483003,372.6892457723725,10.106549025905592,0.28079379621440276,timesfm,xreg_b,3,-33,cabbage_net8kg_mid,3
1112.37190150011,1041.3205526614256,11.653816298774881,0.6477544205102418,timesfm,xreg_b,3,-33,cabbage_net8kg_premium,3
2209.225105521864,2155.687736748116,9.450844578512426,0.47629926925274846,timesfm,xreg_b,3,-33,carrot_box20kg_high,3
