RMSE,MAE,MAPE,MASE,model,variant,window,cutoff,item_id,n
42.63463180197235,38.88758352112237,3.7040938258642098,0.3395347479368732,timesfm,xreg_a,1,-3,onion_kg1_premium,3
1475.633604730939,1172.6775166695934,6.1898000348665345,0.2290291500036179,timesfm,xreg_a,1,-3,perilla_leaf_bunch100_high,3
1869.3954307633078,1678.325030113722,15.163961581154428,0.45030569052793323,timesfm,xreg_a,1,-3,perilla_leaf_bunch100_low,3
2374.747626301451,2077.371093492215,14.491870926888486,0.455758434366794,timesfm,xreg_a,1,-3,perilla_leaf_bunch100_mid,3
2613.5776949796114,2069.50278757142,3.0181947487762986,0.4476833284538006,timesfm,xreg_a,1,-3,potato_sumi_box20kg_high,3
3381.2524422847005,2692.6446070594698,12.196038287334199,0.9511118637834336,timesfm,xreg_a,1,-3,potato_sumi_box20kg_low,3
3704.587440997143,3258.8826107997834,7.1116550300502945,0.8388299382195038,timesfm,xreg_a,1,-3,potato_sumi_box20kg_mid,3
7986.9163521658165,7555.313795293953,9.9689617609418,1.266820537414788,timesfm,xreg_a,1,-3,potato_sumi_box20kg_premium,3
1063.7637203428712,992.4862669602153,12.210537467635623,0.2516533943608673,timesfm,xreg_a,1,-3,spinach_box4kg_high,3
1246.5460663559732,1206.402566071196,29.29738069968889,0.5614429122003034,timesfm,xreg_a,1,-3,spinach_box4kg_low,3
937.1826524047,877.3794506974167,13.315020798907032,0.2906331745004779,timesfm,xreg_a,1,-3,spinach_box4kg_mid,3
1357.4502967684236,1233.3147163511057,4.173317326384951,0.4675725271159731,timesfm,xreg_a,1,-3,sweetpotato_box10kg_high,3
567.5780801101076,539.487675360829,4.612276821766869,0.33297719313093765,timesfm,xreg_a,1,-3,sweetpotato_box10kg_low,3
370.80394710140246,354.46681565718245,1.693163518884359,0.16774629282141754,timesfm,xreg_a,1,-3,sweetpotato_box10kg_mid,3
8788.099572251085,7811.392405534733,16.28335437699771,1.7838209155891027,timesfm,xreg_a,1,-3,sweetpotato_box10kg_premium,3
14116.752079657974,11657.588552752151,26.107734575654344,1.9599761360020327,timesfm,xreg_a,2,-18,apple_fuji_box10kg_high,3
7164.985057651641,6645.177964685158,23.30528534025004,1.9318183490724188,timesfm,xreg_a,2,-18,apple_fuji_box10kg_low,3
6683.090552356469,5557.327730694317,14.32648747137328,1.242193105336425,timesfm,xreg_a,2,-18,apple_fuji_box10kg_mid,3
50668.48883254985,49896.4437261291,71.85994461886983,5.230561414642575,timesfm,xreg_a,2,-18,apple_fuji_box10kg_premium,3
2355.8027070345624,1957.7084599411594,20.55506405681382,1.320887195578223,timesfm,xreg_a,2,-18,cabbage_net8kg_high,3
405.8980533710683,284.57225658662566,7.869011016007442,0.2785013284244781,timesfm,xreg_a,2,-18,cabbage_net8kg_low,3
1191.924985362572,911.8366090478916,15.40276948441002,0.6870014788089865,timesfm,xreg_a,2,-18,cabbage_net8kg_mid,3
2934.446419405047,2774.0074947607645,21.634001867899126,1.7255739480675187,timesfm,xreg_a,2,-18,cabbage_net8kg_premium,3
